
"josh lid the Hunter","Alcatraz",:18	","897/1012",:$"5,"+55"
"Sir Mick IV","The Arc",:66	","3514/3867",:$"5,"+138"
"The German Shepherd","Galata Tower",:27	","989/990",:$"5,"+12"
"King Bacon the III","Statue of Zeus",:37	","989/994",:$"5,"+23"
"1 COOL JUGGERNAUT","Alcatraz",:53	","1900/2400",:$"5,"+55"
"DocRoc","The Arc",:32	","1293/1670",:$"5,"+60"
"ELod the Illusionist","Cape Canaveral",:19	","973/1099",:$"5,"+26"
"Beatrix the Brave","Cape Canaveral",:74	","3933/4274",:$"5,"-75"
"astroyer","Cathedral of Aachen",:59	","1564/2012",:$"5,"+130"
"MLXZA","The Arc",:70	","4233/4268",:$"5,"+47"
"Chicalita","Royal Albert Hall",:8	","556/600",:$"5,"+13"
"Dixiedemon","The Arc",:73	","4537/4596",:$"5,"+92"
"The0do00r","Castel del Monte",:50	","1421/1880",:$"5,"+51"
"Captain Fantastic 69","The Arc",:47	","2352/2419",:$"5,"+168"
"gainer","St. Mark's Basilica",:25	","874/942",:$"5,"+21"
"Sir Mick IV","Alcatraz",:63	","2096/3073",:$"5,"-77"
"Jameson the Impaler","The Arc",:39	","1935/1986",:$"5,"+9"
"W the T","The Arc",:34	","1664/1755",:$"5,"+58"
"Trvlynlyt13","The Arc",:39	","993/1986",:$"5,"+100"
"SPARTAN007","Statue of Zeus",:26	","635/758",:$"5,"+50"
"Katy Raven","The Arc",:37	","282/1890",:$"5,"+826"
"Kristovfer","Alcatraz",:31	","1122/1395",:$"5,"+49"
"cooltrik","Arctic Orangery",:20	","1381/1421",:$"5,"+98"
"astroyer","Temple of Relics",:56	","1632/2025",:$"5,"+89"
"nukewarrior","chateaufrontenac",:65	","2045/3228",:$"5,"+73"
"The German Shepherd","Cathedral of Aachen",:54	","1495/1779",:$"5,"+37"
"Jake the bow-hunter","Statue of Zeus",:28	","702/796",:$"5,"+32"
"King Davo 1","Temple of Relics",:44	","1204/1505",:$"5,"+23"
"BasilRathbone","The Arc",:34	","963/1755",:$"5,"+58"
"4GIZMOSMC","The Arc",:75	","4258/4829",:$"5,"+138"
"JTR1K","The Arc",:75	","4049/4829",:$"5,"+86"
"Kurtiy","Alcatraz",:53	","1983/2400",:$"5,"+50"
"stardust59","Temple of Relics",:12	","675/683",:$"5,"+23"
"kevin0508","The Arc",:45	","1206/2303",:$"5,"+205"
"kevin0508","Statue of Zeus",:73	","1541/2417",:$"5,"+92"
"porter1","The Arc",:65	","3772/3773",:$"5,"+81"
"King Davo 1","Cathedral of Aachen",:26	","777/891",:$"5,"+16"
"Mano Koa","Cathedral of Aachen",:18	","632/732",:$"5,"+6"
"Dixiedemon","Castel del Monte",:65	","2125/2723",:$"5,"+27"
"Kurtiy","The Arc",:45	","1881/2303",:$"5,"+160"
"Pillowbud","The Arc",:57	","2353/3096",:$"5,"+227"
"She-Devil","The Arc",:32	","1478/1670",:$"5,"+80"
"TownExpo","The Arc",:55	","2435/2947",:$"5,"+189"
"SPARTAN007","Temple of Relics",:35	","1098/1206",:$"5,"+88"
"Iphigenia 2058 the Bold","Cathedral of Aachen",:14	","642/663",:$"5,"+93"
"vondoodle","Royal Albert Hall",:39	","1328/1617",:$"5,"+16"
"Jake the bow-hunter","Cathedral of Aachen",:29	","948/960",:$"5,"+43"
"Spartan...","The Arc",:62	","2398/3503",:$"5,"+168"
"King Davo 1","The Arc",:41	","2072/2086",:$"5,"+92"
"King Davo 1","Castel del Monte",:31	","1130/1176",:$"5,"+35"
"iiiikantc","Castel del Monte",:20	","603/897",:$"5,"0"
"iiiikantc","Lighthouse of Alexandria",:14	","603/608",:$"5,"+159"
"King Oral the Great","Temple of Relics",:40	","1023/1364",:$"5,"+11"
"Chicalita","Lighthouse of Alexandria",:17	","644/654",:$"5,"+122"
"Dogeatdog5858","The Arc",:56	","2989/3021",:$"5,"+80"
"astroyer","Castel del Monte",:82	","3480/4143",:$"5,"+87"
"Crunk 55","Lighthouse of Alexandria",:48	","807/1406",:$"5,"+38"
"Edera 99","The Arc",:37	","1489/1890",:$"5,"+82"
"Swampfox504","The Arc",:41	","1615/2086",:$"5,"+146"
"Rahquel","The Arc",:45	","2184/2303",:$"5,"+150"
"SPARTAN007","Lighthouse of Alexandria",:23	","649/759",:$"5,"+13"
"Chip the Dude","The Arc",:54	","2698/2875",:$"5,"+187"
"stardust59","Cathedral of Aachen",:7	","360/380",:$"5,"+25"
"Regis59","Statue of Zeus",:84	","3009/3171",:$"5,"+120"
"NC1987","Cape Canaveral",:20	","1074/1127",:$"5,"+23"
"Fitzydjf","The Arc",:31	","824/1630",:$"5,"+21"
"Dixiedemon","Cape Canaveral",:50	","1773/2363",:$"5,"+55"
"Nellie1303","The Arc",:70	","2921/4268",:$"5,"+100"
"Riccla","The Arc",:57	","3093/3096",:$"5,"+201"
"Sulius Jeezer","The Arc",:38	","1794/1937",:$"5,"+48"
"vondoodle","Cathedral of Aachen",:65	","2277/2334",:$"5,"+42"
"vondoodle","Alcatraz",:65	","3142/3228",:$"5,"+30"
"Ookami47","The Arc",:31	","1398/1630",:$"5,"+62"
"NC1987","The Arc",:59	","3119/3253",:$"5,"+179"
"Epsilon Trosky","Galata Tower",:18	","684/792",:$"5,"+26"
"Epsilon Trosky","Temple of Relics",:29	","845/1040",:$"5,"+36"
"vondoodle","Saint Basil's Cathedral",:37	","1173/1364",:$"5,"+74"
"vondoodle","Lighthouse of Alexandria",:44	","983/1274",:$"5,"+38"
"Lord Vinz","Tower of Babel",:22	","623/686",:$"5,"+22"
"Claudius 494 the Builder","Castel del Monte",:25	","638/1014",:$"5,"+42"
"kevin0508","Castel del Monte",:69	","2903/3005",:$"5,"+59"
"Justina 792 the Warrior","Castel del Monte",:58	","1795/2291",:$"5,"check #1"
"Rakk3320","Temple of Relics",:46	","1304/1582",:$"5,"+23"
"vondoodle","Temple of Relics",:55	","1849/1975",:$"5,"+80"
"Amberle the Wise","The Arc",:75	","4018/4829",:$"5,"+121"
"The0do00r","The Arc",:36	","1398/1844",:$"5,"+76"
"ELod the Illusionist","Statue of Zeus",:12	","481/536",:$"5,"+11"
"DirtyByrd","The Arc",:53	","2217/2805",:$"5,"+244"
"Mano Koa","The Arc",:69	","4081/4164",:$"5,"+102"
"Clotilde 2401 the Hawk","Statue of Zeus",:16	","517/592",:$"5,"+31"
"nukewarrior","The Arc",:32	","1321/1670",:$"5,"+35"
"Claudius 494 the Builder","The Arc",:35	","1515/1799",:$"5,"+35"
"ms.maggie","Temple of Relics",:42	","1232/1433",:$"5,"+65"
"King Sean Theone","The Blue Galaxy",:8	","541/880",:$"5,"+1"
"5tryyker","Temple of Relics",:18	","770/792",:$"5,"+41"
"Justina 792 the Warrior","Cathedral of Aachen",:49	","1421/1572",:$"5,"0"
"DirtyByrd","Cathedral of Aachen",:27	","859/913",:$"5,"+52"
"Swampfox504","Temple of Relics",:43	","1123/1469",:$"5,"+33"
"Sir Xeenauth","Cathedral of Aachen",:30	","806/984",:$"5,"+99"
"Sir Xeenauth","Temple of Relics",:13	","631/700",:$"5,"+34"
"Sir Xeenauth","Castel del Monte",:41	","1208/1506",:$"5,"+142"
"Sir Xeenauth","Statue of Zeus",:31	","819/857",:$"5,"+186"
"Sir Xeenauth","The Arc",:52	","2571/2737",:$"5,"+390"
"LauraBuilder","Temple of Relics",:19	","665/812",:$"5,"+14"
"Sound Freastail Ar","Observatory",:12	","328/683",:$"5,""
"LauraBuilder","Innovation Tower",:12	","853/925",:$"5,"+17"
"Epsilon Trosky","St. Mark's Basilica",:13	","624/700",:$"5,"+26"
"ivokiss","Lighthouse of Alexandria",:12	","551/578",:$"5,"+30"
"dougie8484","The Arc",:83	","4637/5884",:$"5,""
"*ryndle*","The Arc",:99	","3853/8734",:$"5,"+933"
"Beatrix the Brave","Innovation Tower",:11	","15/902",:$"5,""
"Rakk3320","Lighthouse of Alexandria",:24	","56/778",:$"5,""
"wocanon","Cathedral of Aachen",:81	","11/3464",:$"5,"."
(.*)\n(.*)\n(.*)\n(.*)\n(.*)\n(.*)\n\n
'$1','$2',:$3','$4',:$'5,'$6'\n
